"decimalLongitude","decimalLatitude","muhi"
-44.2916666666667,-0.875,1
-38.375,-3.625,1
-32.375,-3.79166666666666,1
-32.4583333333333,-3.875,1
-32.375,-3.875,0
-35.2916666666667,-5.375,1
-35.125,-5.54166666666666,0
-35.0416666666667,-5.54166666666666,0
-34.7916666666667,-6.70833333333333,1
-34.7916666666667,-7.125,1
-35.125,-8.79166666666666,1
-35.2083333333333,-8.95833333333333,0
-35.2083333333333,-9.04166666666666,1
-38.625,-12.7083333333333,1
-38.625,-12.7916666666667,1
-38.5416666666667,-12.7916666666667,1
-38.625,-12.875,1
-38.5416666666667,-12.875,1
-38.5416666666667,-12.9583333333333,1
-38.5416666666667,-13.0416666666667,0
-38.7083333333333,-13.125,1
-38.625,-13.125,1
-38.9583333333333,-13.5416666666667,1
-38.9583333333333,-16.375,1
-39.0416666666667,-16.4583333333333,1
-38.9583333333333,-16.4583333333333,1
-39.0416666666667,-16.875,1
-39.125,-16.9583333333333,1
-39.0416666666667,-16.9583333333333,1
-39.125,-17.0416666666667,1
-36.7916666666667,-17.125,1
-38.875,-17.375,1
-39.125,-17.4583333333333,1
-39.0416666666667,-17.4583333333333,1
-38.9583333333333,-17.4583333333333,1
-39.0416666666667,-17.5416666666667,1
-39.0416666666667,-17.625,1
-39.0416666666667,-17.7083333333333,1
-38.9583333333333,-17.7083333333333,1
-38.625,-17.7083333333333,1
-39.0416666666667,-17.7916666666667,1
-38.9583333333333,-17.7916666666667,1
-39.125,-17.875,1
-38.9583333333333,-17.875,1
-38.7083333333333,-17.875,1
-39.2916666666667,-17.9583333333333,1
-39.2083333333333,-17.9583333333333,1
-38.9583333333333,-17.9583333333333,1
-38.7916666666667,-17.9583333333333,1
-38.7083333333333,-17.9583333333333,1
-38.625,-17.9583333333333,1
-39.4583333333333,-18.0416666666667,1
-39.0416666666667,-18.0416666666667,1
-38.9583333333333,-18.0416666666667,1
-38.7083333333333,-18.0416666666667,1
-38.625,-18.0416666666667,1
-38.625,-18.125,1
-37.875,-18.625,1
-35.875,-20.5416666666667,1
-29.2916666666667,-20.5416666666667,1
-40.375,-20.625,1
-40.5416666666667,-20.7083333333333,1
-40.375,-20.7083333333333,1
-33.625,-20.875,1
-41.875,-22.7083333333333,1
-41.875,-22.7916666666667,1
-44.375,-22.9583333333333,1
-42.0416666666667,-22.9583333333333,1
-41.9583333333333,-22.9583333333333,1
-44.625,-23.0416666666667,1
-44.5416666666667,-23.0416666666667,1
-44.4583333333333,-23.0416666666667,1
-44.375,-23.0416666666667,1
-44.2916666666667,-23.0416666666667,1
-44.2083333333333,-23.0416666666667,1
-44.125,-23.0416666666667,1
-44.5416666666667,-23.125,1
-44.2916666666667,-23.125,1
-44.2083333333333,-23.125,1
-44.125,-23.125,1
-44.7083333333333,-23.2083333333333,1
-44.625,-23.2083333333333,1
-44.5416666666667,-23.2083333333333,1
-44.375,-23.2083333333333,1
-44.125,-23.2083333333333,1
-44.625,-23.2916666666667,1
-44.5416666666667,-23.2916666666667,1
-44.2083333333333,-23.2916666666667,1
-45.2083333333333,-23.5416666666667,1
-45.125,-23.5416666666667,1
-44.9583333333333,-23.5416666666667,1
-45.4583333333333,-23.7916666666667,1
-45.375,-23.7916666666667,1
-45.125,-23.7916666666667,1
-44.9583333333333,-23.7916666666667,1
-45.2083333333333,-23.875,1
-45.625,-23.9583333333333,1
-45.2916666666667,-23.9583333333333,0
-46.375,-24.0416666666667,1
-45.7083333333333,-24.125,1
-46.2083333333333,-24.2916666666667,1
-48.375,-27.2916666666667,0
-48.2916666666667,-27.2916666666667,0
-48.375,-27.625,0
