"decimalLongitude","decimalLatitude","Mussismilia_hispida"
-38.6694984436,-17.9920005798,"1"
-36.806,-17.134,"1"
-44.558,-23.221,"1"
-39.027778,-17.478333,"1"
-44.546,-23.048,"1"
-38.979167,-17.875,"1"
-38.7018318176,-17.9599990845,"1"
-38.966111,-17.988611,"1"
-35.2773,-5.3967,"1"
-38.6951675415,-17.9815006256,"1"
-39.013056,-17.506111,"1"
-38.690278,-17.906944,"1"
-44.214,-23.047,"1"
-39.071389,-16.975278,"1"
-38.590556,-18.101944,"1"
-38.6533317566,-17.955165863,"1"
-44.326,-23.137,"1"
-37.87,-18.663,"1"
-38.979167,-17.875,"1"
-44.326,-23.137,"1"
-39.218611,-17.955,"1"
-44.225,-23.079,"1"
-38.6694984436,-17.9920005798,"1"
-38.6694984436,-17.9920005798,"1"
-44.631,-23.272,"1"
-44.596,-23.203,"1"
-39.011111,-17.813056,"1"
-44.363,-23.071,"1"
-44.6,-23.238,"1"
-39.051111,-16.882778,"1"
-39.272778,-17.996111,"1"
-44.379,-23.032,"1"
-44.596,-23.203,"1"
-44.546,-23.048,"1"
-38.659722,-17.980833,"1"
-35.704,-20.704,"1"
-38.918889,-17.745556,"1"
-38.600833,-17.715278,"1"
-38.6951675415,-17.9815006256,"1"
-44.537,-23.152,"1"
-38.988333,-18.020278,"1"
-44.644,-23.193,"1"
-39.091389,-16.895833,"1"
-38.873889,-17.350278,"1"
-44.506,-23.291,"1"
-44.297,-23.113,"1"
-38.6533317566,-17.955165863,"1"
-44.537,-23.152,"1"
-39.048333,-17.786389,"1"
-38.601389,-17.721389,"1"
-38.756389,-17.992778,"1"
-38.703611,-18.003889,"1"
-44.69,-23.214,"1"
-45.4228,-23.8292,"1"
-38.639444,-18.012778,"1"
-35.838,-20.511,"1"
-44.099,-23.164,"1"
-39.000833,-17.708056,"1"
-39.113333,-16.951389,"1"
-44.225,-23.079,"1"
-44.31,-23.085,"1"
-44.373,-23.167,"1"
-39.135278,-17.421944,"1"
-39.050833,-17.605278,"1"
-38.6694984436,-17.9920005798,"1"
-44.191,-23.102,"1"
-44.506,-23.291,"1"
-39.065278,-16.891667,"1"
-33.636,-20.857,"1"
-38.6556663513,-17.968000412,"1"
-44.253,-23.07,"1"
-38.924722,-17.819167,"1"
-44.69,-23.214,"1"
-39.113333,-16.951389,"1"
-39.018333,-18.011111,"1"
-39.126944,-17.003889,"1"
-44.15,-23.221,"1"
-44.578,-23.185,"1"
-39.272778,-17.996111,"1"
-44.601,-23.063,"1"
-38.703611,-18.003889,"1"
-38.6170005798,-12.7329998016,"1"
-39.031944,-17.46,"1"
-38.966389,-17.682222,"1"
-39.085,-16.886389,"1"
-44.601,-23.063,"1"
-44.367,-22.962,"1"
-44.578,-23.185,"1"
-44.541,-23.268,"1"
-38.6694984436,-17.9920005798,"1"
-38.978611,-17.751944,"1"
-44.253,-23.07,"1"
-46.3576,-24.0216,"1"
-44.421,-23.06,"1"
-38.678889,-18.048056,"1"
-39,-18.028333,"1"
-44.309,-23.028,"1"
-39.078611,-16.897778,"1"
-44.373,-23.167,"1"
-44.631,-23.272,"1"
-44.14,-23.043,"1"
-44.644,-23.193,"1"
-44.15,-23.221,"1"
-38.971111,-17.426111,"1"
