"decimalLongitude","decimalLatitude","Mussismilia_hispida","code"
-38.6694984436,-17.9920005798,1,"OBIS1"
-36.806,-17.134,1,"OBIS2"
-44.558,-23.221,1,"OBIS3"
-39.027778,-17.478333,1,"OBIS4"
-44.546,-23.048,1,"OBIS5"
-38.979167,-17.875,1,"OBIS6"
-38.7018318176,-17.9599990845,1,"OBIS7"
-38.966111,-17.988611,1,"OBIS8"
-35.2773,-5.3967,1,"OBIS9"
-38.6951675415,-17.9815006256,1,"OBIS10"
-39.013056,-17.506111,1,"OBIS11"
-38.690278,-17.906944,1,"OBIS12"
-44.214,-23.047,1,"OBIS13"
-39.071389,-16.975278,1,"OBIS14"
-38.590556,-18.101944,1,"OBIS15"
-38.6533317566,-17.955165863,1,"OBIS16"
-44.326,-23.137,1,"OBIS17"
-37.87,-18.663,1,"OBIS18"
-39.218611,-17.955,1,"OBIS21"
-44.225,-23.079,1,"OBIS22"
-44.631,-23.272,1,"OBIS25"
-44.596,-23.203,1,"OBIS26"
-39.011111,-17.813056,1,"OBIS27"
-44.363,-23.071,1,"OBIS28"
-44.6,-23.238,1,"OBIS29"
-39.051111,-16.882778,1,"OBIS30"
-39.272778,-17.996111,1,"OBIS31"
-44.379,-23.032,1,"OBIS32"
-38.659722,-17.980833,1,"OBIS35"
-35.704,-20.704,1,"OBIS36"
-38.918889,-17.745556,1,"OBIS37"
-38.600833,-17.715278,1,"OBIS38"
-44.537,-23.152,1,"OBIS40"
-38.988333,-18.020278,1,"OBIS41"
-44.644,-23.193,1,"OBIS42"
-39.091389,-16.895833,1,"OBIS43"
-38.873889,-17.350278,1,"OBIS44"
-44.506,-23.291,1,"OBIS45"
-44.297,-23.113,1,"OBIS46"
-39.048333,-17.786389,1,"OBIS49"
-38.601389,-17.721389,1,"OBIS50"
-38.756389,-17.992778,1,"OBIS51"
-38.703611,-18.003889,1,"OBIS52"
-44.69,-23.214,1,"OBIS53"
-45.4228,-23.8292,1,"OBIS54"
-38.639444,-18.012778,1,"OBIS55"
-35.838,-20.511,1,"OBIS56"
-44.099,-23.164,1,"OBIS57"
-39.000833,-17.708056,1,"OBIS58"
-39.113333,-16.951389,1,"OBIS59"
-44.31,-23.085,1,"OBIS61"
-44.373,-23.167,1,"OBIS62"
-39.135278,-17.421944,1,"OBIS63"
-39.050833,-17.605278,1,"OBIS64"
-44.191,-23.102,1,"OBIS66"
-39.065278,-16.891667,1,"OBIS68"
-33.636,-20.857,1,"OBIS69"
-38.6556663513,-17.968000412,1,"OBIS70"
-44.253,-23.07,1,"OBIS71"
-38.924722,-17.819167,1,"OBIS72"
-39.018333,-18.011111,1,"OBIS75"
-39.126944,-17.003889,1,"OBIS76"
-44.15,-23.221,1,"OBIS77"
-44.578,-23.185,1,"OBIS78"
-44.601,-23.063,1,"OBIS80"
-38.6170005798,-12.7329998016,1,"OBIS82"
-39.031944,-17.46,1,"OBIS83"
-38.966389,-17.682222,1,"OBIS84"
-39.085,-16.886389,1,"OBIS85"
-44.367,-22.962,1,"OBIS87"
-44.541,-23.268,1,"OBIS89"
-38.978611,-17.751944,1,"OBIS91"
-46.3576,-24.0216,1,"OBIS93"
-44.421,-23.06,1,"OBIS94"
-38.678889,-18.048056,1,"OBIS95"
-39,-18.028333,1,"OBIS96"
-44.309,-23.028,1,"OBIS97"
-39.078611,-16.897778,1,"OBIS98"
-44.14,-23.043,1,"OBIS101"
-38.971111,-17.426111,1,"OBIS104"
-38.669498,-17.992001,1,"GBIF1"
-38.655666,-17.968,1,"GBIF2"
-38.653332,-17.955166,1,"GBIF3"
-38.695168,-17.981501,1,"GBIF7"
-38.701832,-17.959999,1,"GBIF11"
-82.1107,9.31979,1,"GBIF12"
-45.1,-23.5,1,"GBIF15"
-38.62,-12.73,1,"GBIF16"
-32.390543,-3.814355,0,"AUED1"
-32.414963,-3.83904,0,"AUED29"
-32.422785,-3.86684,0,"AUED58"
-38.6625,-17.96277778,0,"AUED72"
-38.697698,-17.9613,1,"AUED87"
-38.71583333,-17.97055556,0,"AUED102"
-29.309546,-20.504954,0,"AUED117"
-29.497889,-20.522617,0,"AUED141"
-29.343378,-20.492586,0,"AUED158"
-45.393889,-23.830333,0,"AUED176"
-45.702491,-24.105182,1,"AUED203"
-45.283621,-23.935384,0,"AUED225"
-45.243995,-23.893302,0,"AUED247"
-48.331675,-27.264465,0,"AUED269"
-48.366833,-27.274989,0,"AUED299"
-48.387576,-27.603507,0,"AUED323"
-35.0725,-5.56435,0,"AUED337"
-35.258986,-5.394114,0,"AUED345"
-35.363432,-5.262117,0,"AUED359"
-35.090067,-5.564467,0,"AUED367"
-44.264283,-0.869867,0,"AUED381"
-40.407589,-20.699631,0,"AUED403"
-40.366164,-20.676614,0,"AUED433"
-40.378777,-20.612348,0,"AUED463"
-38.532404,-13.008831,0,"AUED493"
-38.626367,-12.80916,0,"AUED508"
-38.5491,-12.83708,0,"AUED523"
-38.571664,-12.814719,0,"AUED537"
-33.80355,-3.875172222,0,"AUED552"
-33.818884,-3.860322,0,"AUED568"
-33.81225833,-3.872955556,0,"AUED587"
-33.79191111,-3.86895,0,"AUED604"
-33.80944167,-3.874725,0,"AUED624"
-33.80944167,-3.872986111,0,"AUED633"
-41.98446,-22.980427,0,"AUED651"
-42.00165556,-22.96514167,0,"AUED661"
-41.993723,-22.96573,1,"AUED670"
-35.192744,-9.032689,0,"AUED727"
-35.191486,-9.024256,1,"AUED742"
-35.180628,-8.9985,0,"AUED757"
-44.2609,-0.8727,1,"PELU1"
-38.4076,-3.5976,1,"PELU2"
-33.8021,-3.8668,1,"PELU3"
-32.4453,-3.8542,1,"PELU4"
-34.813,-7.1129,1,"PELU5"
-35.0859,-8.7579,1,"PELU6"
-38.5139,-12.944,1,"PELU7"
-38.9814,-16.4161,1,"PELU8"
-39.1978,-17.9669,1,"PELU9"
-40.508061,-20.711398,1,"PELU10"
-29.346,-20.5017,1,"PELU11"
-41.8743,-22.7391,1,"PELU12"
-42.0151,-22.9673,1,"PELU13"
-44.3217,-23.1469,1,"PELU14"
-45.4406,-23.8706,1,"PELU15"
-38.5,-17.333333,1,"BIBL1"
-39.495077,-18.003099,1,"BIBL2"
-38.700432,-17.963954,1,"BIBL3"
-45.118496,-23.500343,1,"BIBL4"
-38.633333,-13.116667,1,"BIBL5"
-39.039719,-16.444547,1,"BIBL6"
-39.022061,-16.424811,1,"BIBL7"
-39.003597,-16.420564,1,"BIBL8"
-38.983,-16.420253,1,"BIBL9"
-38.981922,-16.389922,1,"BIBL10"
-39.022061,-6.444547,1,"BIBL11"
-38.983333,-16.416667,1,"BIBL13"
-45.166944,-23.843611,1,"BIBL15"
-38.975,-16.425,1,"BIBL17"
-38.988333,-16.418333,1,"BIBL18"
-33.814197,-3.859819,1,"BIBL19"
-33.814431,-3.867756,1,"BIBL20"
-33.808122,-3.871667,1,"BIBL22"
-38.406592,-3.598286,1,"BIBL23"
-32.445267,-3.854206,1,"BIBL28"
-32.390492,-3.808767,1,"BIBL29"
-32.390492,-3.808758,1,"BIBL30"
-32.475017,-3.873853,1,"BIBL31"
-34.8125,-7.104167,1,"BIBL36"
-35.085922,-8.757906,1,"BIBL39"
-35.087044,-8.761028,1,"BIBL40"
-38.547778,-12.838331,1,"BIBL42"
-38.573608,-12.814167,1,"BIBL43"
-38.616108,-12.781108,1,"BIBL44"
-38.98655,-16.39885,1,"BIBL45"
-38.98655,-16.422381,1,"BIBL46"
-38.989967,-16.412831,1,"BIBL47"
-38.986897,-16.399081,1,"BIBL49"
-39.063056,-17.775217,1,"BIBL51"
-39.144867,-17.915981,1,"BIBL52"
-39.197817,-17.966867,1,"BIBL55"
-29.327742,-20.492467,1,"BIBL57"
-29.342897,-20.495139,1,"BIBL58"
-29.343642,-20.498175,1,"BIBL59"
-29.331517,-20.521669,1,"BIBL60"
-29.340097,-20.489258,1,"BIBL61"
-29.344817,-20.507889,1,"BIBL63"
-29.309659,-20.504905,1,"BIBL64"
-29.300056,-20.527711,1,"BIBL65"
-40.366667,-20.666667,1,"BIBL68"
-40.35,-20.683331,1,"BIBL70"
-40.379719,-20.611167,1,"BIBL71"
-41.874581,-22.73895,1,"BIBL73"
-41.901305,-22.753898,1,"BIBL76"
-42.006011,-22.967978,1,"BIBL77"
-44.321667,-23.146942,1,"BIBL79"
-44.400142,-23.030981,1,"BIBL81"
-45.440644,-23.870658,1,"BIBL82"
-45.465822,-23.895089,1,"BIBL85"
-38.742222,-13.136944,1,"BIBL86"
-38.641944,-13.129444,1,"BIBL87"
-38.716667,-13.116667,1,"BIBL88"
-38.924242,-13.571389,1,"BIBL89"
-39.129428,-17.911803,1,"BIBL90"
-42.020027,-22.975255,1,"BIBL91"
-38.983333,-16.4,1,"BIBL92"
-44.229722,-23.076667,1,"BIBL93"
-41.991865,-22.985028,1,"BIBL94"
-45.6575,-23.979722,1,"BIBL95"
-44.22465,-23.264722,1,"BIBL96"
-41.866667,-22.733333,1,"BIBL97"
-45.416389,-23.840278,1,"BIBL98"
-45.410163,-23.821867,1,"BIBL99"
-45.405768,-23.84348,1,"BIBL100"
-45.410353,-23.82147,1,"BIBL102"
-44.169444,-23.118333,1,"BIBL103"
-44.156994,-23.135776,1,"BIBL104"
-44.202222,-23.108611,1,"BIBL105"
-44.195,-23.105278,1,"BIBL106"
-44.191944,-23.102222,1,"BIBL107"
-44.203611,-23.097222,1,"BIBL108"
-44.239722,-23.077778,1,"BIBL110"
-39.077611,-16.917306,1,"BIBL111"
-41.901667,-22.755,1,"BIBL112"
-39.091667,-16.887778,1,"BIBL113"
-38.695575,-17.962921,1,"BIBL114"
-38.986414,-16.405335,1,"BIBL115"
-45.406111,-23.840278,1,"BIBL117"
-32.416667,-3.933333,1,"BIBL119"
-33.807756,-3.867239,1,"BIBL120"
-44.294362,-23.027483,1,"BIBL124"
-41.9025,-22.751389,1,"BIBL126"
-41.901111,-22.751389,1,"BIBL127"
-41.900278,-22.750833,1,"BIBL128"
-41.886944,-22.750556,1,"BIBL129"
-41.884167,-22.750833,1,"BIBL130"
-41.871111,-22.736944,1,"BIBL131"
-41.883611,-22.736389,1,"BIBL132"
-41.871111,-22.736111,1,"BIBL133"
-41.871111,-22.735556,1,"BIBL134"
-41.87,-22.735556,1,"BIBL135"
-41.868889,-22.734722,1,"BIBL136"
-46.183333,-24.316667,1,"BIBL137"
-45.7,-26.1,1,"BIBL138"
-45.133281,-23.797796,1,"BIBL139"
-45,-23.75,1,"BIBL140"
-45.166667,-23.583333,1,"BIBL141"
-45,-23.5,1,"BIBL142"
-41.90624,-22.756398,1,"BIBL144"
-45.066667,-26.1,1,"BIBL146"
-38.662232,-12.87894,1,"BIBL152"
-34.810278,-6.701389,1,"BIBL153"
-34.822453,-7.124765,1,"BIBL154"
