"decimalLongitude","decimalLatitude","side"
-35.0416666666667,-5.54166666666666,0
-45.375,-23.7916666666667,0
-45.2083333333333,-23.875,0
-45.2916666666667,-23.9583333333333,0
-45.7083333333333,-24.125,0
-48.2916666666667,-27.2916666666667,0
-48.375,-27.625,0
-94.2916666666667,28.2083333333333,1
-83.4583333333333,28.125,1
-93.625,27.875,1
-83.0416666666667,27.7916666666667,1
-82.9583333333333,27.7916666666667,1
-82.9583333333333,27.7083333333333,1
-82.875,27.5416666666667,1
-82.625,27.2916666666667,1
-82.625,27.125,1
-82.7083333333333,27.0416666666667,1
-82.5416666666667,27.0416666666667,1
-82.9583333333333,26.875,1
-82.875,26.875,1
-83.7083333333333,26.2916666666667,1
-82.2083333333333,26.2916666666667,1
-80.2916666666667,25.2083333333333,1
-80.2083333333333,25.2083333333333,1
-80.2916666666667,25.125,1
-80.375,24.9583333333333,1
-77.7083333333333,24.7083333333333,1
-77.7083333333333,24.625,1
-81.875,24.4583333333333,1
-77.7083333333333,24.375,1
-77.625,24.2916666666667,1
-76.4583333333333,24.2083333333333,1
-74.4583333333333,24.125,1
-74.5416666666667,24.0416666666667,1
-74.5416666666667,23.9583333333333,1
-77.7916666666667,23.7083333333333,1
-71.125,21.5416666666667,1
-97.2083333333333,21.4583333333333,1
-96.9583333333333,20.7916666666667,1
-78.2083333333333,20.625,1
-78.125,20.625,1
-78.2083333333333,20.5416666666667,1
-87.0416666666667,20.4583333333333,1
-87.0416666666667,20.2916666666667,1
-79.7083333333333,19.7916666666667,1
-79.875,19.7083333333333,1
-95.9583333333333,19.125,1
-87.7083333333333,18.7083333333333,1
-94.7916666666667,18.5416666666667,1
-77.9583333333333,18.5416666666667,1
-87.7083333333333,18.4583333333333,1
-78.2916666666667,18.4583333333333,1
-64.7916666666667,18.375,1
-64.7083333333333,18.375,1
-78.375,18.2916666666667,1
-76.7083333333333,18.2916666666667,1
-64.7916666666667,18.2916666666667,1
-66.9583333333333,17.9583333333333,1
-66.7916666666667,17.9583333333333,1
-63.0416666666667,17.9583333333333,1
-76.7916666666667,17.875,1
-67.125,17.875,1
-67.0416666666667,17.875,1
-66.9583333333333,17.875,1
-66.875,17.875,1
-64.625,17.7916666666667,1
-64.5416666666667,17.7083333333333,1
-87.7083333333333,17.625,1
-63.2916666666667,17.625,1
-61.875,17.375,1
-87.5416666666667,17.2916666666667,1
-87.5416666666667,17.2083333333333,1
-88.0416666666667,16.9583333333333,1
-88.125,16.7916666666667,1
-88.0416666666667,16.7916666666667,1
-87.875,16.7083333333333,1
-22.9583333333333,16.7083333333333,1
-22.875,16.7083333333333,1
-79.7083333333333,15.875,1
-61.375,15.2083333333333,1
-82.7083333333333,14.4583333333333,1
-80.2916666666667,14.375,1
-80.2083333333333,14.375,1
-80.375,14.2916666666667,1
-61.2916666666667,13.2916666666667,1
-82.9583333333333,12.2916666666667,1
-83.0416666666667,12.2083333333333,1
-81.875,12.2083333333333,1
-81.7916666666667,12.2083333333333,1
-81.875,12.125,1
-81.7916666666667,12.125,1
-61.7916666666667,12.125,1
-83.0416666666667,12.0416666666667,1
-61.7916666666667,12.0416666666667,1
-66.7083333333333,11.7916666666667,1
-74.2083333333333,11.2916666666667,1
-74.125,11.2916666666667,1
-60.4583333333333,11.2916666666667,1
-74.2083333333333,11.2083333333333,1
-60.875,11.2083333333333,1
-60.7916666666667,11.2083333333333,1
-74.2916666666667,10.9583333333333,1
-60.9583333333333,10.875,1
-68.2083333333333,10.7916666666667,1
-66.2083333333333,10.625,1
-66.125,10.625,1
-67.2083333333333,10.5416666666667,1
-66.125,10.5416666666667,1
-75.7916666666667,10.125,1
-75.7916666666667,9.79166666666667,1
-75.875,9.70833333333334,1
-75.7916666666667,9.70833333333334,1
-75.7083333333333,9.70833333333334,1
-76.2083333333333,9.375,1
-76.875,8.375,1
6.70833333333333,0.375,1
6.45833333333333,0.291666666666671,1
6.79166666666666,0.208333333333336,1
6.54166666666666,-0.0416666666666643,1
-44.2916666666667,-0.875,1
-39.0416666666667,-3.375,1
-32.4583333333333,-3.875,1
-32.375,-3.875,1
-35.2916666666667,-5.375,1
-35.125,-5.54166666666666,1
-34.7916666666667,-7.20833333333333,1
-14.4583333333333,-7.95833333333333,1
-14.375,-7.95833333333333,1
-35.0416666666667,-8.70833333333333,1
-35.125,-8.79166666666666,1
-35.2083333333333,-8.95833333333333,1
-35.2083333333333,-9.04166666666666,1
-35.5416666666667,-9.45833333333333,1
-38.625,-12.7916666666667,1
-38.5416666666667,-12.7916666666667,1
-38.625,-12.875,1
-38.5416666666667,-12.875,1
-38.5416666666667,-13.0416666666667,1
-38.625,-16.0416666666667,1
-40.375,-20.625,1
-40.375,-20.7083333333333,1
-33.625,-20.875,1
-41.9583333333333,-22.875,1
-42.0416666666667,-22.9583333333333,1
-41.9583333333333,-22.9583333333333,1
